dt,name,code,score
2016.03.16,LG유플러스,'032640,4
2016.03.15,SK,'034730,4
2016.03.15,지스마트글로벌,'114570,4
2016.03.14,엔씨소프트,'036570,4
2016.03.14,종근당,'185750,2
2016.03.14,쿠쿠전자,'192400,4
2016.03.14,알루코,'001780,4
2016.03.11,현대위아,'011210,4
2016.03.10,매일유업,'005990,4
2016.03.10,현대그린푸드,'005440,4
2016.03.10,보령제약,'003850,4
2016.03.09,LS,'006260,4
2016.03.09,삼성화재,'000810,4
2016.03.08,삼성전자,'005930,4
2016.03.08,롯데쇼핑,'023530,4
2016.04.07,파트론,'091700,4
2016.04.06,에스원,'012750,4
2016.04.06,컴투스,'078340,4
2016.04.06,대웅,'003090,4
2016.04.05,GS건설,'006360,4
2016.04.05,현대백화점,'069960,4
2016.04.05,한화테크윈,'012450,4
2016.04.05,쌍용차,'003620,4
2016.04.04,맥쿼리인프라,'088980,4
2016.04.04,대호에이엘,'069460,4
2016.04.04,우수AMS,'066590,4
2016.04.04,유수홀딩스,'000700,4
2016.04.04,사조산업,'007160,4
2016.04.04,한솔제지,'213500,4
2016.04.01,CJ헬로비전,'037560,4
2016.04.01,랩지노믹스,'084650,4
2016.03.31,게임빌,'063080,4
2016.03.31,LS산전,'010120,4
2016.03.31,동아에스티,'170900,4
2016.03.31,바디텍메드,'206640,4
2016.03.30,SK텔레콤,'017670,4
2016.03.30,대림씨엔에스,'004440,4
2016.03.30,코리안리,'003690,4
2016.03.29,코라오홀딩스,'900140,4
2016.03.28,LG이노텍,'011070,4
2016.03.25,LIG넥스원,'079550,4
2016.03.24,창해에탄올,'004650,4
2016.04.22,대림산업,'000210,4
2016.04.22,LG화학,'051910,4
2016.04.22,대현,'016090,4
2016.04.22,KT&amp;G,'033780,4
2016.04.22,S-Oil,'010950,4
2016.04.22,포스코대우,'047050,4
2016.04.22,제일기획,'030000,4
2016.04.22,KT&amp;G,'033780,4
2016.04.21,LS산전,'010120,4
2016.04.20,조이시티,'067000,4
2016.04.20,코리안리,'003690,4
2016.04.20,와이지엔터테인먼트,'122870,4
2016.04.20,두산,'000150,4
2016.04.20,두산중공업,'034020,4
2016.04.20,두산인프라코어,'042670,4
2016.04.20,두산중공업,'034020,4
2016.04.20,두산인프라코어,'042670,4
2016.04.19,한국전력,'015760,4
2016.04.19,두산건설,'011160,4
2016.04.19,대봉엘에스,'078140,4
2016.04.15,선데이토즈,'123420,4
2016.04.14,대웅제약,'069620,4
2016.04.14,휴비츠,'065510,4
2016.04.12,동부화재,'005830,4
2016.04.12,LG전자,'066570,4
2016.04.12,카카오,'035720,4
2016.04.11,이마트,'139480,4
2016.04.11,CJ제일제당,'097950,4
2016.04.08,두산,'000150,4
2016.04.07,매일유업,'005990,4
2016.04.28,LG유플러스,'032640,4
2016.04.28,LG생활건강,'051900,4
2016.04.28,CJ제일제당,'097950,4
2016.04.28,현대위아,'011210,4
2016.04.28,LG이노텍,'011070,4
2016.04.28,현대모비스,'012330,4
2016.04.28,두산인프라코어,'042670,4
2016.04.28,기아차,'000270,4
2016.04.28,LG생활건강,'051900,4
2016.04.28,SK하이닉스,'000660,4
2016.04.27,한전기술,'052690,4
2016.04.27,LS산전,'010120,4
2016.04.27,삼성전기,'009150,4
2016.04.27,동원산업,'006040,4
2016.04.27,현대차,'005380,4
2016.04.27,대교,'019680,4
2016.04.27,SK하이닉스,'000660,4
2016.04.26,SKC코오롱PI,'178920,4
2016.04.26,서울반도체,'046890,4
2016.04.25,SK이노베이션,'096770,4
2016.04.25,국도화학,'007690,4
2016.04.25,인바디,'041830,4
2016.04.25,한국전력,'015760,4
